Flow id,Src IP,Dst IP,Dst port,Protocol,Application protocol,Duration,Received bytes,Received packets,Transmitted bytes,Transmitted packets,Total bytes,Total packets,label,family
-2497672905109222834,10.0.2.43,204.79.197.203,80,tcp,http,202681,8865,35,3255,35,12120,70,normal,-
-8553146443019982593,10.0.2.43,216.239.32.36,443,udp,-,21386,71121,153,35219,136,106340,289,normal,-
-2365272136610888212,10.0.2.43,2.16.2.211,443,tcp,tls,11012,9192,24,2684,24,11876,48,normal,-
1937010122192431324,10.0.2.43,65.9.95.115,443,tcp,tls,340832,16098,46,4864,44,20962,90,normal,-
5785821617572949332,10.0.2.43,142.251.36.109,443,tcp,tls,6553,365359,297,13638,167,378997,464,normal,-
-8398108501773989105,10.0.2.43,188.185.10.243,443,tcp,tls,1525,79240,78,7532,73,86772,151,normal,-
2685174670912297413,10.0.2.43,2.16.2.194,443,tcp,tls,244872,11116246,7670,138958,2476,11255204,10146,normal,-
-1135128972228279035,10.0.2.43,104.244.42.69,443,tcp,tls,420035,15884,69,9951,68,25835,137,normal,-
-3116884955866709715,10.0.2.43,68.219.88.97,443,tcp,tls,348920,25657,67,11290,64,36947,131,normal,-
-4870200055512757255,10.0.2.43,52.167.30.171,443,tcp,tls,249718,36204,54,6402,40,42606,94,normal,-
7266557634094515809,10.0.2.43,188.185.87.101,80,tcp,http,17371,1383,13,816,14,2199,27,normal,-
-8063567751324031074,10.0.2.43,104.244.42.131,443,tcp,tls,341594,10014,42,5162,42,15176,84,normal,-
549438180555606026,10.0.2.43,52.19.200.27,443,tcp,tls,183945,25749,63,7724,66,33473,129,normal,-
4986518062590747152,10.0.2.43,104.26.2.11,443,tcp,tls,3010,28311,72,9572,72,37883,144,normal,-
3253674955658879693,10.0.2.43,65.9.95.82,443,tcp,tls,106476,33151392,22738,267770,4826,33419162,27564,normal,-
-1306965537483926077,10.0.2.43,142.251.36.99,443,tcp,tls,1942,28606,64,7833,63,36439,127,normal,-
-7383204076791837081,10.0.2.43,146.75.120.157,443,tcp,tls,341664,44640,66,5362,52,50002,118,normal,-
188170466213256795,10.0.2.43,142.251.37.106,443,tcp,tls,92458,54131,131,14855,123,68986,254,normal,-
-864338475519735236,10.0.2.43,35.186.249.72,443,tcp,tls,512412,24311,61,6630,63,30941,124,normal,-
54376415898619766,10.0.2.43,142.251.37.97,443,tcp,tls,506,11170,22,2920,24,14090,46,normal,-
1290471756938926266,10.0.2.43,65.9.95.61,443,tcp,tls,29646,14229,54,10450,54,24679,108,normal,-
6366711586942277439,10.0.2.43,152.199.19.161,443,tcp,tls,341914,31846,56,5122,48,36968,104,normal,-
6085285609788209021,10.0.2.43,104.17.50.95,443,tcp,tls,174425,29321,87,10619,87,39940,174,normal,-
7932730593828777244,10.0.2.43,65.9.95.108,443,tcp,tls,161872,16078,46,5304,44,21382,90,normal,-
5045130840599531402,10.0.2.43,157.240.30.54,443,tcp,tls,78058,33483,99,11516,91,44999,190,normal,-
-7186789131639822118,10.0.2.43,200.147.3.157,443,tcp,tls,11628,8390,20,3052,22,11442,42,normal,-
6593816891915032237,10.0.2.43,65.9.94.151,443,tcp,tls,55300,50201,108,12691,118,62892,226,normal,-
