type,key,value,reliability,validity,details
ip_dependency_client,10.100.30.242,10.100.32.141,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""1234"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.31,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.31,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 279}"
ip_dependency_server,10.100.28.41,10.100.46.22,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 89}"
ip_dependency_client,10.100.46.22,10.100.28.41,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 89}"
ip_dependency_server,10.100.33.140,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""7887"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.33.140,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""7887"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.29,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""12345"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.29,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""12345"", ""num_packets"": 279}"
ip_dependency_server,10.100.32.144,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""12345"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.32.144,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""12345"", ""num_packets"": 279}"
ip_dependency_server,10.100.30.111,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""1234"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.30.111,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""1234"", ""num_packets"": 279}"
