App,Jas3,Host,Sni,Subject
firefox,579CCEF312D18482FC42E2B822CA2430,firefox.settings.services.mozilla.com,firefox.settings.services.mozilla.com,
,FB0AA01ABE9D8E4037EB3473CA6E2DCA,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,*.telemetry.mozilla.org
,,safebrowsing.googleapis.com,,
,,fonts.gstatic.com,,
,,safebrowsing.googleapis.com,,
,,fonts.gstatic.com,,
,,safebrowsing.googleapis.com,,
,,fonts.gstatic.com,,
,,safebrowsing.googleapis.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,push.services.mozilla.com,push.services.mozilla.com,push.services.mozilla.com
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
msedge,,,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,fonts.gstatic.com,ssl.gstatic.com,
,,www.bing.com,,
,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
,579CCEF312D18482FC42E2B822CA2430,fonts.googleapis.com,fonts.googleapis.com,
firefox,579CCEF312D18482FC42E2B822CA2430,assets.adobedtm.com,assets.adobedtm.com,
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,prod-snowly-sasic.stdout.cz,
,,clients2.google.com,,
,579CCEF312D18482FC42E2B822CA2430,prod.ingestion-edge.prod.dataops.mozgcp.net,incoming.telemetry.mozilla.org,
,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
,579CCEF312D18482FC42E2B822CA2430,chrek.stdout.cz,prod-snowly-als.stdout.cz,
,579CCEF312D18482FC42E2B822CA2430,chrek.stdout.cz,chrek.stdout.cz,
,,accounts.google.com,,
,579CCEF312D18482FC42E2B822CA2430,www.googletagmanager.com,www.googletagmanager.com,
,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
,,jnn-pa.googleapis.com,,
,579CCEF312D18482FC42E2B822CA2430,fonts.googleapis.com,fonts.googleapis.com,
,579CCEF312D18482FC42E2B822CA2430,fonts.googleapis.com,fonts.googleapis.com,
,,jnn-pa.googleapis.com,,
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
,02AA4679DF284F240695DA144B70C288,safebrowsing.googleapis.com,safebrowsing.googleapis.com,
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
,,a-0003.a-msedge.net,,
,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
msedge,,photos-ugc.l.googleusercontent.com,,
,24C42D3E77F06F2A8F47F4EBBBFDFAF4,f-log-extension.grammarly.io,f-log-extension.grammarly.io,f-log.grammarly.io
,,fonts.gstatic.com,,
,02AA4679DF284F240695DA144B70C288,fonts.gstatic.com,fonts.gstatic.com,
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
,579CCEF312D18482FC42E2B822CA2430,chrek.stdout.cz,mer.stdout.cz,
firefox,579CCEF312D18482FC42E2B822CA2430,,privacy.cpex.cz,
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,prod-snowly-sasic.stdout.cz,
,,www.googletagmanager.com,,
,579CCEF312D18482FC42E2B822CA2430,www.clarity.ms,cdn5.caroda.io,*.caroda.io
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
,,fonts.gstatic.com,,
,579CCEF312D18482FC42E2B822CA2430,static.criteo.net,static.criteo.net,
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,adx.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,prod-snowly-sasic.stdout.cz,asset.stdout.cz,
,,jnn-pa.googleapis.com,,
,579CCEF312D18482FC42E2B822CA2430,fastlane.rubiconproject.com,fastlane.rubiconproject.com,
,579CCEF312D18482FC42E2B822CA2430,r2b2-emea.adnxs.com,r2b2-emea.adnxs.com,*.adnxs.com
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
,579CCEF312D18482FC42E2B822CA2430,i.connectad.io,i.connectad.io,
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
,579CCEF312D18482FC42E2B822CA2430,fonts.gstatic.com,fonts.gstatic.com,
firefox,579CCEF312D18482FC42E2B822CA2430,1341732386.rsc.cdn77.org,cdn.cpex.cz,
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,adx.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,prg.smartadserver.com,prg.smartadserver.com,
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,adx.adform.net,track.adform.net
firefox,579CCEF312D18482FC42E2B822CA2430,i.connectad.io,i.connectad.io,
,579CCEF312D18482FC42E2B822CA2430,h.seznam.cz,h.seznam.cz,
,579CCEF312D18482FC42E2B822CA2430,,onetag-sys.com,
,,clients2.google.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,www.aktualne.cz,www.aktualne.cz,
firefox,579CCEF312D18482FC42E2B822CA2430,sdk.privacy-center.org,sdk.privacy-center.org,
firefox,579CCEF312D18482FC42E2B822CA2430,ads.caroda.io,publisher.caroda.io,
firefox,579CCEF312D18482FC42E2B822CA2430,chip.performax.cz,chip.performax.cz,*.performax.cz
,579CCEF312D18482FC42E2B822CA2430,i.connectad.io,i.connectad.io,
firefox,579CCEF312D18482FC42E2B822CA2430,api.caroda.io,api.caroda.io,
firefox,579CCEF312D18482FC42E2B822CA2430,cdn.xsd.cz,cdn.xsd.cz,
chrome,8741313EFBD5C3FAF042E8BA718277F3,jnn-pa.googleapis.com,peoplestackwebexperiments-pa.clients6.google.com,
,,clients2.google.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,,hb.adscale.de,*.adscale.de
,579CCEF312D18482FC42E2B822CA2430,static.criteo.net,static.criteo.net,
,579CCEF312D18482FC42E2B822CA2430,e6603.g.akamaiedge.net,vpaid.pubmatic.com,*.pubmatic.com
,,cdn.jsdelivr.net,,
firefox,579CCEF312D18482FC42E2B822CA2430,mp.4dex.io,mp.4dex.io,
,579CCEF312D18482FC42E2B822CA2430,dale.performax.cz,dale.performax.cz,*.performax.cz
,579CCEF312D18482FC42E2B822CA2430,bidder.criteo.com,bidder.criteo.com,
firefox,579CCEF312D18482FC42E2B822CA2430,,dale.performax.cz,*.performax.cz
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.imedia.cz,
,,cdn.jsdelivr.net,,
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.imedia.cz,
,579CCEF312D18482FC42E2B822CA2430,product-image.performax.cz,cdn.performax.cz,*.performax.cz
,579CCEF312D18482FC42E2B822CA2430,ads.caroda.io,ads.caroda.io,
,579CCEF312D18482FC42E2B822CA2430,bidder.criteo.com,bidder.criteo.com,
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,adx.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,track.adform.net,adx.adform.net,track.adform.net
,579CCEF312D18482FC42E2B822CA2430,prebid-server.rubiconproject.com,prebid-server.rubiconproject.com,*.rubiconproject.com
,579CCEF312D18482FC42E2B822CA2430,e6603.g.akamaiedge.net,vpaid.pubmatic.com,*.pubmatic.com
,579CCEF312D18482FC42E2B822CA2430,,onetag-sys.com,
,579CCEF312D18482FC42E2B822CA2430,prg.smartadserver.com,prg.smartadserver.com,
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.seznam.cz,
,579CCEF312D18482FC42E2B822CA2430,r2b2-emea.adnxs.com,r2b2-emea.adnxs.com,*.adnxs.com
,579CCEF312D18482FC42E2B822CA2430,bidder.criteo.com,bidder.criteo.com,
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.seznam.cz,
,579CCEF312D18482FC42E2B822CA2430,mp.4dex.io,mp.4dex.io,
,579CCEF312D18482FC42E2B822CA2430,openbid.pubmatic.com,openbid.pubmatic.com,*.pubmatic.com
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.imedia.cz,
,,jnn-pa.googleapis.com,,
,579CCEF312D18482FC42E2B822CA2430,ssp.seznam.cz,ssp.imedia.cz,
firefox,579CCEF312D18482FC42E2B822CA2430,tlx.3lift.com,tlx.3lift.com,*.3lift.com
,,fonts.gstatic.com,,
firefox,579CCEF312D18482FC42E2B822CA2430,cdn.jsdelivr.net,cdn.jsdelivr.net,
,579CCEF312D18482FC42E2B822CA2430,r2b2-emea.adnxs.com,r2b2-emea.adnxs.com,*.adnxs.com
,579CCEF312D18482FC42E2B822CA2430,prg.smartadserver.com,prg.smartadserver.com,
,579CCEF312D18482FC42E2B822CA2430,e6603.g.akamaiedge.net,vpaid.pubmatic.com,*.pubmatic.com
,579CCEF312D18482FC42E2B822CA2430,fastlane.rubiconproject.com,fastlane.rubiconproject.com,
firefox,579CCEF312D18482FC42E2B822CA2430,trackad.cz,trackad.cz,*.trackad.cz
